E474  (14,09%)- portato al 16
  1.000000    0.000000
  0.996250    0.000322
  0.985390    0.001633
  0.968270    0.004278
  0.945580    0.008038
  0.917770    0.012719
  0.885440    0.018101
  0.849080    0.023633
  0.808740    0.029026
  0.764720    0.034420
  0.717600    0.039894
  0.667980    0.045413
  0.616470    0.050911
  0.563740    0.056293
  0.510430    0.061479
  0.457210    0.066343
  0.404740    0.070771
  0.353670    0.074623
  0.304640    0.077740
  0.258280    0.079936
  0.215170    0.080983
  0.175900    0.080523
  0.140690    0.077947
  0.109390    0.073036
  0.081930    0.065975
  0.058260    0.057017
  0.038410    0.046564
  0.022460    0.035052
  0.010540    0.022989
  0.002800    0.010983
  0.000000    0.000000
  0.002800   -0.010983
  0.010540   -0.022989
  0.022460   -0.035052
  0.038410   -0.046564
  0.058260   -0.057017
  0.081930   -0.065975
  0.109390   -0.073036
  0.140690   -0.077947
  0.175900   -0.080523
  0.215170   -0.080983
  0.258280   -0.079936
  0.304640   -0.077740
  0.353670   -0.074623
  0.404740   -0.070771
  0.457210   -0.066343
  0.510430   -0.061479
  0.563740   -0.056293
  0.616470   -0.050911
  0.667980   -0.045413
  0.717600   -0.039894
  0.764720   -0.034420
  0.808740   -0.029026
  0.849080   -0.023633
  0.885440   -0.018101
  0.917770   -0.012719
  0.945580   -0.008038
  0.968270   -0.004278
  0.985390   -0.001633
  0.996250   -0.000322
  1.000000    0.000000
