Pegase  coap
  1.000000    0.000536
  0.986066    0.003215
  0.964630    0.006431
  0.943194    0.010718
  0.921758    0.016077
  0.900322    0.020364
  0.878885    0.024652
  0.857449    0.030011
  0.836013    0.035155
  0.814577    0.040193
  0.793140    0.045016
  0.771704    0.049303
  0.750268    0.053591
  0.728832    0.059486
  0.707395    0.064309
  0.685959    0.068596
  0.664523    0.072883
  0.643087    0.076635
  0.621651    0.082529
  0.600214    0.087674
  0.578778    0.092712
  0.557342    0.097535
  0.535906    0.101822
  0.514469    0.105038
  0.493033    0.108789
  0.471597    0.112004
  0.450161    0.114684
  0.428725    0.117899
  0.407288    0.120043
  0.375134    0.122186
  0.342980    0.123258
  0.310825    0.123044
  0.278671    0.122186
  0.246517    0.118971
  0.214362    0.114148
  0.192926    0.109646
  0.171490    0.105038
  0.150054    0.099678
  0.128617    0.094319
  0.107181    0.087353
  0.085745    0.079314
  0.064309    0.068596
  0.042872    0.058092
  0.032154    0.051447
  0.026795    0.048232
  0.021436    0.043408
  0.016077    0.038585
  0.010718    0.031083
  0.005359    0.023580
  0.002680    0.019293
  0.001608    0.015541
  0.000000    0.000000
  0.001608   -0.005895
  0.002680   -0.008789
  0.005359   -0.011790
  0.010718   -0.018221
  0.016077   -0.022508
  0.021436   -0.024652
  0.026795   -0.026259
  0.032154   -0.028403
  0.042872   -0.030225
  0.064309   -0.033226
  0.085745   -0.036334
  0.107181   -0.037728
  0.128617   -0.040086
  0.150054   -0.042015
  0.171490   -0.043944
  0.192926   -0.045874
  0.214362   -0.047160
  0.246517   -0.048767
  0.278671   -0.049303
  0.310825   -0.050054
  0.342980   -0.050375
  0.375134   -0.050482
  0.407288   -0.050375
  0.428725   -0.049303
  0.450161   -0.049143
  0.471597   -0.048232
  0.493033   -0.047160
  0.514469   -0.045552
  0.535906   -0.043087
  0.557342   -0.041372
  0.578778   -0.039657
  0.600214   -0.038585
  0.621651   -0.036977
  0.643087   -0.034298
  0.664523   -0.032154
  0.685959   -0.030011
  0.707395   -0.027867
  0.728832   -0.025723
  0.750268   -0.024652
  0.771704   -0.022508
  0.793140   -0.020364
  0.814577   -0.018221
  0.836013   -0.016077
  0.857449   -0.013398
  0.878885   -0.011790
  0.900322   -0.009646
  0.921758   -0.009110
  0.943194   -0.007503
  0.964630   -0.005359
  0.986066   -0.004287
  1.000000   -0.002144
